event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,200,test,1,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.3724156618118286,0.6275845170021057,,0.12309766560792923,0.12309765070676804,,,,,,,,,,,,
forward,200,test,2,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.4763343632221222,0.5236656069755554,,0.03276757523417473,0.03276759758591652,,,,,,,,,,,,
forward,250,train,0,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.7912102937698364,0.2087896764278412,,0.20287936925888062,0.20287935435771942,,,,,,,,,,,,
forward,250,train,1,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.3744277060031891,0.6255723237991333,,0.12996527552604675,0.12996527552604675,,,,,,,,,,,,
forward,250,train,2,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.48018911480903625,0.5198107957839966,,0.04998283088207245,0.04998282343149185,,,,,,,,,,,,
backward,250,train,0,1e-05,3,,,,,,1.0,0.0,1.0,0,0.03368144653397244,,,,,,,,,,,,,,,,,,,
backward,250,train,1,1e-05,3,,,,,,1.0,0.0,1.0,0,0.09101999370063116,,,,,,,,,,,,,,,,,,,
backward,250,train,2,1e-05,3,,,,,,1.0,0.0,1.0,0,0.07755953156457188,,,,,,,,,,,,,,,,,,,
forward,250,val,0,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.7911826968193054,0.2088172733783722,,0.20288562774658203,0.20288562774658203,,,,,,,,,,,,
forward,250,val,1,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.372219979763031,0.627780020236969,,0.123154416680336,0.123154416680336,,,,,,,,,,,,
forward,250,val,2,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.4768485724925995,0.5231514573097229,,0.03230944275856018,0.032309435307979584,,,,,,,,,,,,
forward,250,test,0,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.7911826968193054,0.2088172733783722,,0.20288562774658203,0.20288562774658203,,,,,,,,,,,,
forward,250,test,1,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.372219979763031,0.627780020236969,,0.123154416680336,0.123154416680336,,,,,,,,,,,,
forward,250,test,2,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.4768485724925995,0.5231514573097229,,0.03230944275856018,0.032309435307979584,,,,,,,,,,,,
